map_size,p_frozen,gamma,n_iters,theta,n_i,mean_reward,stdev_reward
10,0.8,0.6,1000,1e-10,38,0.51,0.49989998999799945
10,0.8,0.6,1000,0.001,8,0.0,0.0
10,0.8,0.7,1000,1e-10,53,0.48,0.4995998398718718
10,0.8,0.7,1000,0.001,12,0.0,0.0
10,0.8,0.8,1000,1e-10,82,0.05,0.21794494717703367
10,0.8,0.8,1000,0.001,18,0.35,0.4769696007084728
10,0.8,0.9,1000,1e-10,149,0.67,0.47021271782034985
10,0.8,0.9,1000,0.001,32,0.19,0.39230090491866065
10,0.8,1.0,1000,1e-10,999,0.05,0.2179449471770337
10,0.8,1.0,1000,0.001,349,0.05,0.21794494717703367
10,0.9,0.1,1000,1e-10,10,0.08,0.2712931993250107
10,0.9,0.1,1000,0.001,4,0.0,0.0
10,0.9,0.2,1000,1e-10,14,0.29,0.4537620521815371
10,0.9,0.2,1000,0.001,4,0.0,0.0
10,0.9,0.3,1000,1e-10,18,0.61,0.4877499359302879
10,0.9,0.3,1000,0.001,5,0.0,0.0
10,0.9,0.4,1000,1e-10,23,0.16,0.36660605559646725
10,0.9,0.4,1000,0.001,6,0.0,0.0
10,0.9,0.5,1000,1e-10,28,0.08,0.2712931993250107
10,0.9,0.5,1000,0.001,8,0.0,0.0
10,0.9,0.6,1000,1e-10,39,0.36,0.48
10,0.9,0.6,1000,0.001,9,0.0,0.0
10,0.9,0.7,1000,1e-10,54,0.72,0.4489988864128729
10,0.9,0.7,1000,0.001,12,0.0,0.0
10,0.9,0.8,1000,1e-10,83,0.64,0.48
10,0.9,0.8,1000,0.001,17,0.47,0.49909918853871116
10,0.9,0.9,1000,1e-10,143,0.87,0.33630343441600474
10,0.9,0.9,1000,0.001,32,0.91,0.2861817604250837
10,0.9,1.0,1000,1e-10,999,0.11,0.31288975694324034
10,0.9,1.0,1000,0.001,148,0.86,0.34698703145794946
10,1.0,0.1,1000,1e-10,10,0.35,0.4769696007084728
10,1.0,0.1,1000,0.001,4,0.0,0.0
10,1.0,0.2,1000,1e-10,14,0.75,0.4330127018922193
10,1.0,0.2,1000,0.001,4,0.0,0.0
10,1.0,0.3,1000,1e-10,18,0.98,0.13999999999999999
10,1.0,0.3,1000,0.001,5,0.0,0.0
10,1.0,0.4,1000,1e-10,23,0.93,0.2551470164434615
10,1.0,0.4,1000,0.001,6,0.0,0.0
10,1.0,0.5,1000,1e-10,30,0.98,0.13999999999999999
10,1.0,0.5,1000,0.001,8,0.0,0.0
10,1.0,0.6,1000,1e-10,40,0.96,0.19595917942265423
10,1.0,0.6,1000,0.001,9,0.21,0.40730823708832603
10,1.0,0.7,1000,1e-10,55,0.94,0.23748684174075835
10,1.0,0.7,1000,0.001,12,0.53,0.49909918853871116
10,1.0,0.8,1000,1e-10,81,0.96,0.19595917942265426
10,1.0,0.8,1000,0.001,18,0.94,0.23748684174075835
10,1.0,0.9,1000,1e-10,137,0.98,0.13999999999999999
10,1.0,0.9,1000,0.001,34,0.98,0.13999999999999999
10,1.0,1.0,1000,1e-10,351,0.94,0.23748684174075835
10,1.0,1.0,1000,0.001,107,0.98,0.13999999999999999
