map_size,p_frozen,gamma,is_slippery,move_cost,iter_type,n_i,mean_reward,stdev_reward
10,1.0,0.7,True,0.0,value,57,1.72,0.6939740629158989
10,1.0,0.7,True,0.0,policy,4,1.72,0.6939740629158989
10,1.0,0.7,True,-0.01,value,56,1.5173,0.7667774840199731
10,1.0,0.7,True,-0.01,policy,5,1.5173,0.7667774840199731
10,1.0,0.8,False,0.0,value,19,2.0,0.0
10,1.0,0.8,False,0.0,policy,12,2.0,0.0
10,1.0,0.8,False,-0.01,value,19,1.83,0.0
10,1.0,0.8,False,-0.01,policy,16,1.83,0.0
10,1.0,0.8,True,0.0,value,85,1.78,0.6257795138864806
10,1.0,0.8,True,0.0,policy,5,1.78,0.6257795138864806
10,1.0,0.8,True,-0.01,value,85,1.5848000000000002,0.6896672821005794
10,1.0,0.8,True,-0.01,policy,5,1.5848000000000002,0.6896672821005794
10,1.0,0.9,False,0.0,value,19,2.0,0.0
10,1.0,0.9,False,0.0,policy,17,2.0,0.0
10,1.0,0.9,False,-0.01,value,19,1.83,0.0
10,1.0,0.9,False,-0.01,policy,18,1.83,0.0
10,1.0,0.9,True,0.0,value,152,1.88,0.4749736834815167
10,1.0,0.9,True,0.0,policy,6,1.88,0.4749736834815167
10,1.0,0.9,True,-0.01,value,151,1.6794,0.5178915330452895
10,1.0,0.9,True,-0.01,policy,5,1.6794,0.5178915330452895
12,0.6,0.1,False,0.0,value,12,0.0,0.0
12,0.6,0.1,False,0.0,policy,17,2.0,0.0
12,0.6,0.1,False,-0.01,value,12,-1.0000000000000004,2.220446049250313e-16
12,0.6,0.1,False,-0.01,policy,17,1.7899999999999991,8.881784197001252e-16
12,0.6,0.1,True,0.0,value,9,0.0,0.0
12,0.6,0.1,True,0.0,policy,10,0.0,0.0
12,0.6,0.1,True,-0.01,value,9,-0.0147,0.01757583568425695
12,0.6,0.1,True,-0.01,policy,6,-0.0147,0.01757583568425695
12,0.6,0.2,False,0.0,value,16,0.0,0.0
12,0.6,0.2,False,0.0,policy,16,2.0,0.0
12,0.6,0.2,False,-0.01,value,16,-1.0000000000000004,2.220446049250313e-16
12,0.6,0.2,False,-0.01,policy,16,1.7899999999999991,8.881784197001252e-16
12,0.6,0.2,True,0.0,value,13,0.0,0.0
12,0.6,0.2,True,0.0,policy,7,0.0,0.0
12,0.6,0.2,True,-0.01,value,12,-0.0147,0.01757583568425695
12,0.6,0.2,True,-0.01,policy,8,-0.0147,0.01757583568425695
12,0.6,0.3,False,0.0,value,21,2.0,0.0
12,0.6,0.3,False,0.0,policy,16,2.0,0.0
12,0.6,0.3,False,-0.01,value,21,1.7899999999999991,8.881784197001252e-16
12,0.6,0.3,False,-0.01,policy,15,1.7899999999999991,8.881784197001252e-16
12,0.6,0.3,True,0.0,value,16,0.0,0.0
12,0.6,0.3,True,0.0,policy,7,0.0,0.0
12,0.6,0.3,True,-0.01,value,15,-0.0147,0.01757583568425695
12,0.6,0.3,True,-0.01,policy,9,-0.0147,0.01757583568425695
12,0.6,0.4,False,0.0,value,24,2.0,0.0
12,0.6,0.4,False,0.0,policy,17,2.0,0.0
12,0.6,0.4,False,-0.01,value,24,1.7899999999999991,8.881784197001252e-16
12,0.6,0.4,False,-0.01,policy,15,1.7899999999999991,8.881784197001252e-16
12,0.6,0.4,True,0.0,value,21,0.0,0.0
12,0.6,0.4,True,0.0,policy,5,0.0,0.0
12,0.6,0.4,True,-0.01,value,18,-0.0147,0.01757583568425695
12,0.6,0.4,True,-0.01,policy,9,-0.0147,0.01757583568425695
12,0.6,0.5,False,0.0,value,24,2.0,0.0
12,0.6,0.5,False,0.0,policy,16,2.0,0.0
12,0.6,0.5,False,-0.01,value,28,1.7899999999999991,8.881784197001252e-16
12,0.6,0.5,False,-0.01,policy,16,1.7899999999999991,8.881784197001252e-16
12,0.6,0.5,True,0.0,value,26,0.0,0.0
12,0.6,0.5,True,0.0,policy,5,0.0,0.0
12,0.6,0.5,True,-0.01,value,21,-0.0147,0.01757583568425695
12,0.6,0.5,True,-0.01,policy,5,-0.0147,0.01757583568425695
12,0.6,0.6,False,0.0,value,24,2.0,0.0
12,0.6,0.6,False,0.0,policy,16,2.0,0.0
12,0.6,0.6,False,-0.01,value,38,1.7899999999999991,8.881784197001252e-16
12,0.6,0.6,False,-0.01,policy,16,1.7899999999999991,8.881784197001252e-16
12,0.6,0.6,True,0.0,value,34,0.0,0.0
12,0.6,0.6,True,0.0,policy,6,0.0,0.0
12,0.6,0.6,True,-0.01,value,27,-0.0147,0.01757583568425695
12,0.6,0.6,True,-0.01,policy,10,-0.0147,0.01757583568425695
12,0.6,0.7,False,0.0,value,24,2.0,0.0
12,0.6,0.7,False,0.0,policy,16,2.0,0.0
12,0.6,0.7,False,-0.01,value,53,1.7899999999999991,8.881784197001252e-16
12,0.6,0.7,False,-0.01,policy,15,1.7899999999999991,8.881784197001252e-16
12,0.6,0.7,True,0.0,value,46,0.0,0.0
12,0.6,0.7,True,0.0,policy,5,0.0,0.0
12,0.6,0.7,True,-0.01,value,35,-0.0147,0.01757583568425695
12,0.6,0.7,True,-0.01,policy,13,-0.0147,0.01757583568425695
12,0.6,0.8,False,0.0,value,24,2.0,0.0
12,0.6,0.8,False,0.0,policy,16,2.0,0.0
12,0.6,0.8,False,-0.01,value,84,1.7899999999999991,8.881784197001252e-16
12,0.6,0.8,False,-0.01,policy,16,1.7899999999999991,8.881784197001252e-16
12,0.6,0.8,True,0.0,value,69,0.0,0.0
12,0.6,0.8,True,0.0,policy,6,0.0,0.0
12,0.6,0.8,True,-0.01,value,52,-0.0147,0.01757583568425695
12,0.6,0.8,True,-0.01,policy,13,-0.0147,0.01757583568425695
12,0.6,0.9,False,0.0,value,24,2.0,0.0
12,0.6,0.9,False,0.0,policy,13,2.0,0.0
